created_at,mean_score,median_score,std_dev,count,pct_blame_west,pct_cta
2022-03-24,2.0,2.0,,1,1.0,0.0
2022-05-01,2.0,2.0,,1,1.0,0.0
2022-05-10,2.0,2.0,,1,1.0,0.0
2022-05-12,3.0,3.0,1.41,2,1.0,0.5
2022-05-14,3.0,3.0,1.41,2,1.0,1.0
2022-05-17,2.0,2.0,,1,0.0,0.0
2022-05-18,2.0,2.0,,1,1.0,1.0
2022-05-19,2.0,2.0,,1,1.0,0.0
2022-05-20,2.0,2.0,,1,1.0,0.0
2022-05-21,1.4,2.0,0.89,5,1.0,0.2
2022-05-22,2.0,2.0,0.0,2,1.0,0.0
2022-05-23,2.0,2.0,,1,0.0,0.0
2022-05-24,4.0,2.0,3.46,3,0.67,0.0
2022-05-27,2.0,2.0,0.0,2,1.0,0.5
2022-05-30,8.0,8.0,,1,1.0,1.0
2022-05-31,2.0,2.0,,1,1.0,1.0
2022-06-01,2.0,2.0,,1,1.0,1.0
2022-06-05,1.0,1.0,1.41,2,0.0,0.0
2022-06-08,2.0,2.0,,1,1.0,0.0
2022-06-09,2.0,2.0,,1,1.0,0.0
2022-06-10,1.5,1.5,0.71,2,0.5,0.0
2022-06-11,2.0,2.0,,1,0.0,0.0
2022-06-12,2.0,2.0,,1,1.0,0.0
2022-06-14,2.0,2.0,,1,1.0,0.0
2022-06-15,2.0,2.0,2.0,3,0.33,0.0
2022-06-16,0.0,0.0,,1,0.0,0.0
2022-06-19,2.0,2.0,,1,1.0,1.0
2022-06-21,2.0,2.0,,1,0.0,0.0
2022-06-22,6.0,6.0,,1,1.0,0.0
2022-06-27,2.0,2.0,,1,1.0,1.0
2022-07-02,0.0,0.0,,1,0.0,0.0
2022-07-04,2.0,2.0,0.0,2,0.0,0.0
2022-07-05,4.0,4.0,,1,1.0,0.0
2022-07-06,2.0,2.0,,1,0.0,1.0
2022-07-10,2.0,2.0,0.0,2,1.0,0.5
2022-07-12,2.0,2.0,,1,0.0,0.0
2022-07-19,2.0,2.0,,1,0.0,0.0
2022-07-27,2.0,2.0,0.0,2,1.0,0.0
2022-08-02,0.0,0.0,,1,0.0,0.0
2022-08-05,2.0,2.0,,1,0.0,0.0
2022-08-07,2.0,2.0,0.0,2,0.5,0.5
2022-08-09,2.0,2.0,,1,1.0,0.0
2022-08-10,2.0,2.0,,1,1.0,0.0
2022-08-11,2.0,2.0,,1,0.0,0.0
2022-08-12,2.0,2.0,0.0,2,0.5,0.0
2022-08-13,0.0,0.0,,1,0.0,0.0
2022-08-14,2.0,2.0,0.0,4,0.5,0.0
2022-08-15,2.0,2.0,,1,0.0,0.0
2022-08-17,0.0,0.0,,1,0.0,0.0
2022-08-18,2.0,2.0,,1,1.0,0.0
2022-08-21,0.0,0.0,,1,0.0,0.0
2022-08-22,2.0,2.0,,1,0.0,0.0
2022-08-23,2.0,2.0,0.0,3,1.0,0.67
2022-08-24,4.0,4.0,,1,1.0,0.0
2022-08-27,2.0,2.0,0.0,2,0.5,0.5
2022-08-28,2.0,2.0,,1,0.0,0.0
2022-08-29,2.0,2.0,,1,1.0,0.0
2022-08-30,2.0,2.0,0.0,3,0.67,0.0
2022-08-31,2.0,2.0,,1,1.0,0.0
2022-09-02,6.0,6.0,,1,0.0,0.0
2022-09-05,3.0,3.0,1.41,2,1.0,0.0
2022-09-06,2.0,2.0,0.0,2,0.5,0.5
2022-09-07,3.0,3.0,1.41,2,0.5,0.0
2022-09-13,4.0,4.0,,1,1.0,0.0
2022-09-14,2.0,2.0,0.0,2,0.0,0.0
2022-09-15,2.0,2.0,0.0,4,0.5,0.25
2022-09-17,2.0,2.0,0.0,4,0.75,0.0
2022-09-18,2.0,2.0,,1,0.0,1.0
2022-09-19,1.5,2.0,1.0,4,0.5,0.0
2022-09-21,8.0,8.0,,1,1.0,0.0
2022-09-22,1.0,1.0,1.41,2,0.5,0.0
2022-09-23,2.0,2.0,0.0,2,0.5,0.5
2022-09-25,2.0,2.0,0.0,2,0.5,0.0
2022-09-26,2.0,2.0,,1,1.0,0.0
2022-09-27,2.0,2.0,,1,1.0,0.0
2022-09-28,5.0,6.0,3.83,4,0.75,0.25
2022-09-30,2.0,2.0,2.0,3,0.33,0.33
2022-10-01,0.5,0.5,0.71,2,0.5,1.0
2022-10-02,0.33,0.0,0.58,3,0.0,0.0
2022-10-06,2.0,2.0,0.0,2,0.0,0.5
2022-10-07,2.0,2.0,,1,1.0,0.0
2022-10-10,2.0,2.0,,1,1.0,1.0
2022-10-11,2.0,2.0,,1,1.0,1.0
2022-10-13,2.0,2.0,1.63,4,0.75,0.5
2022-10-14,2.0,2.0,0.0,2,0.5,0.5
2022-10-18,2.0,2.0,0.0,3,0.67,1.0
2022-10-19,0.67,0.0,1.15,3,0.33,0.33
2022-10-24,2.0,2.0,,1,1.0,0.0
2022-10-25,1.0,1.0,1.41,2,0.5,0.0
2022-10-27,2.0,2.0,,1,1.0,1.0
2022-10-28,2.0,2.0,0.0,3,0.67,0.67
2022-10-29,2.0,2.0,,1,1.0,0.0
2022-10-30,0.0,0.0,,1,0.0,0.0
2022-10-31,2.0,2.0,,1,1.0,0.0
2022-11-01,3.0,3.0,1.41,2,0.5,0.5
2022-11-02,6.0,6.0,,1,0.0,1.0
2022-11-03,0.0,0.0,,1,0.0,0.0
2022-11-06,1.0,1.0,,1,0.0,0.0
2022-11-10,2.0,2.0,,1,0.0,0.0
2022-11-11,2.0,2.0,,1,1.0,0.0
2022-11-16,1.0,1.0,,1,1.0,0.0
2022-11-19,2.0,2.0,,1,0.0,0.0
2022-11-20,2.0,2.0,,1,1.0,1.0
2022-11-22,2.0,2.0,0.0,2,0.5,0.5
2022-11-26,0.0,0.0,,1,0.0,1.0
2022-11-30,2.0,2.0,,1,1.0,0.0
2022-12-05,2.0,2.0,,1,1.0,0.0
2022-12-06,1.6,2.0,0.89,5,0.6,0.0
2022-12-07,2.0,2.0,,1,0.0,0.0
2022-12-09,3.0,3.0,1.41,2,0.5,0.0
2022-12-10,2.0,2.0,0.0,2,0.5,0.0
2022-12-12,2.0,2.0,0.0,2,1.0,0.0
2022-12-13,2.0,2.0,,1,0.0,0.0
2022-12-14,1.33,2.0,1.15,3,0.33,0.0
2022-12-15,2.0,2.0,0.0,5,0.6,0.2
2022-12-17,2.0,2.0,,1,1.0,0.0
2022-12-18,2.0,2.0,,1,1.0,0.0
2022-12-19,2.0,2.0,0.0,2,0.5,0.5
2022-12-20,2.0,2.0,,1,1.0,1.0
2022-12-21,2.0,2.0,,1,1.0,0.0
2022-12-22,4.0,4.0,,1,1.0,1.0
2022-12-24,2.0,2.0,0.0,3,1.0,0.0
2022-12-25,2.0,2.0,,1,0.0,0.0
2022-12-27,2.0,2.0,,1,0.0,0.0
2022-12-29,2.0,2.0,,1,0.0,0.0
2023-01-01,2.0,2.0,,1,0.0,1.0
2023-01-02,4.0,4.0,,1,1.0,1.0
2023-01-04,2.0,2.0,,1,0.0,0.0
2023-01-05,2.0,2.0,,1,0.0,0.0
2023-01-06,2.0,2.0,,1,0.0,0.0
2023-01-07,1.0,1.0,,1,1.0,0.0
2023-01-09,2.0,2.0,,1,0.0,0.0
2023-01-10,2.0,2.0,0.0,2,0.5,1.0
2023-01-11,2.0,2.0,,1,0.0,0.0
2023-01-12,2.0,2.0,,1,1.0,1.0
